GLNo,Find
GL075526/20,TRUE
GL074062/20,TRUE
GL072309/20,TRUE
GL075783/21,TRUE
GL072818/20,TRUE
GL074754/20,TRUE
GL074680/20,TRUE
GL075622/21,TRUE
GL075202/20,TRUE
GL073708/20,TRUE
GL074137/20,TRUE
GL074644/20,TRUE
GL076005/21,TRUE
GL073554/20,TRUE
GL075254/20,TRUE
GL074594/20,TRUE
GL075880/21,TRUE
GL074054/20,TRUE
GL074040/20,TRUE
GL075378/20,TRUE
GL075871/21,TRUE
GL075999/21,TRUE
GL071764/20,TRUE
GL075510/20,TRUE
GL074414/20,TRUE
GL073802/20,TRUE
GL071269/19,TRUE
GL073838/20,TRUE
GL072695/20,TRUE
GL074668/20,TRUE
GL075693/21,TRUE
GL074662/20,TRUE
GL076096/21,TRUE
GL073081/20,TRUE
GL073814/20,TRUE
GL075230/20,TRUE
GL073463/20,TRUE
GL076111/21,TRUE
GL075281/20,TRUE
GL075019/20,TRUE
GL076041/21,TRUE
GL075996/21,TRUE
GL075860/21,TRUE
GL075583/21,TRUE
GL076121/21,TRUE
GL073919/20,TRUE
GL072865/20,TRUE
GL069703/19,TRUE
GL074999/20,TRUE
GL062849/18,TRUE
GL074894/20,TRUE
GL075317/20,TRUE
GL075467/20,TRUE
GL071784/20,TRUE
GL071004/19,TRUE
GL075208/20,TRUE
GL073906/20,TRUE
GL070165/19,TRUE
GL076158/21,TRUE
GL069462/19,TRUE
GL068874/19,TRUE
GL075927/21,TRUE
GL075286/20,TRUE
GL075873/21,TRUE
GL075033/20,TRUE
GL074610/20,TRUE
GL055847/17,TRUE
GL071434/19,TRUE
GL075600/21,TRUE
GL075263/20,TRUE
GL074342/20,TRUE
GL075513/20,TRUE
GL069912/19,TRUE
GL069414/19,TRUE
GL075710/21,TRUE
GL074516/20,TRUE
GL075044/20,TRUE
GL071126/19,TRUE
GL074921/20,TRUE
GL075703/21,TRUE
GL071527/20,TRUE
GL073961/20,TRUE
GL076125/21,TRUE
GL076102/21,TRUE
GL070932/19,TRUE
GL074426/20,TRUE
GL074403/20,TRUE
GL076057/21,TRUE
GL076082/21,TRUE
GL075410/20,TRUE
GL076205/21,TRUE
GL076193/21,TRUE
GL074528/20,TRUE
GL074976/20,TRUE
GL074236/20,TRUE
GL074235/20,TRUE
GL071528/20,TRUE
GL071143/19,TRUE
GL070067/19,TRUE
GL070984/19,TRUE
GL075695/21,TRUE
GL076067/21,TRUE
GL072218/20,TRUE
GL072939/20,TRUE
GL076195/21,TRUE
GL068047/19,TRUE
GL075840/21,TRUE
GL075755/21,TRUE
GL075991/21,TRUE
GL074591/20,TRUE
GL074027/20,TRUE
GL063969/18,TRUE
GL061860/18,TRUE
GL070383/19,TRUE
GL076059/21,TRUE
GL076098/21,TRUE
GL075815/21,TRUE
GL076227/21,TRUE
GL072222/20,TRUE
GL075179/20,TRUE
GL073942/20,TRUE
GL075171/20,TRUE
GL074603/20,TRUE
GL074276/20,TRUE
GL076223/21,TRUE
GL071583/20,TRUE
GL072519/20,TRUE
GL076100/21,TRUE
GL076040/21,TRUE
GL072799/20,TRUE
GL074559/20,TRUE
GL068904/19,TRUE
GL073917/20,TRUE
GL076118/21,TRUE
GL075729/21,TRUE
GL075399/20,TRUE
GL070396/19,TRUE
GL071768/20,TRUE
GL061664/18,TRUE
GL075827/21,TRUE
GL076172/21,TRUE
GL069011/19,TRUE
GL076259/21,TRUE
GL072292/20,TRUE
GL076084/21,TRUE
GL072753/20,TRUE
GL069514/19,TRUE
