GLNo,COBDate,FindPR,Sum of Princ Rec,Find,,,,,
GL058939/18,31032022,GL058939/18310320220,0,GL058939/18310320220,,,,,
GL059149/18,31032021,GL059149/1831032021197000,197000,GL059149/1831032021197000,,,,,
GL059215/18,31032021,GL059215/18310320217152,7152,GL059215/18310320217152,,,,,
GL059216/18,31032021,GL059216/18310320210,0,GL059216/18310320210,,,,,
GL059270/18,31032021,GL059270/18310320210,0,GL059270/18310320210,,,,,
GL059327/18,31032021,GL059327/18310320210,0,GL059327/18310320210,,,,,
GL059327/18,31032022,GL059327/1831032022,,#N/A,,,,,
GL059327/18,31032022,GL059327/18310320220,0,GL059327/18310320220,,,,,
GL059433/18,31032021,GL059433/1831032021208,208,GL059433/1831032021208,,,,,
GL059433/18,31032022,GL059433/1831032022,,#N/A,,,,,
GL059433/18,31032022,GL059433/1831032022208,208,GL059433/1831032022208,,,,,
GL059453/18,31032021,GL059453/18310320210,0,GL059453/18310320210,,,,,
GL059490/18,31032021,GL059490/18310320210,0,GL059490/18310320210,,,,,
GL059492/18,31032021,GL059492/18310320210,0,GL059492/18310320210,,,,,
GL059529/18,31032021,GL059529/18310320210,0,GL059529/18310320210,,,,,
GL059529/18,31032022,GL059529/1831032022,,#N/A,,,,,
GL059529/18,31032022,GL059529/18310320220,0,GL059529/18310320220,,,,,
GL059535/18,31032021,GL059535/18310320210,0,GL059535/18310320210,,,,,
GL059535/18,31032022,GL059535/1831032022,,#N/A,,,,,
GL059535/18,31032022,GL059535/18310320220,0,GL059535/18310320220,,,,,
GL059547/18,31032021,GL059547/18310320210,0,GL059547/18310320210,,,,,
GL059547/18,31032022,GL059547/1831032022,,#N/A,,,,,
GL059547/18,31032022,GL059547/18310320220,0,GL059547/18310320220,,,,,
GL059616/18,31032021,GL059616/18310320210,0,GL059616/18310320210,,,,,
GL059616/18,31032022,GL059616/1831032022,,#N/A,,,,,
GL059616/18,31032022,GL059616/18310320220,0,GL059616/18310320220,,,,,
GL059704/18,31032021,GL059704/18310320210,0,GL059704/18310320210,,,,,
GL059704/18,31032022,GL059704/1831032022,,#N/A,,,,,
GL059704/18,31032022,GL059704/18310320220,0,GL059704/18310320220,,,,,
GL059886/18,31032021,GL059886/18310320210,0,GL059886/18310320210,,,,,
GL059921/18,31032021,GL059921/18310320210,0,GL059921/18310320210,,,,,
GL060023/18,31032021,GL060023/18310320210,0,GL060023/18310320210,,,,,
GL060023/18,31032022,GL060023/1831032022,,#N/A,,,,,
GL060023/18,31032022,GL060023/18310320220,0,GL060023/18310320220,,,,,
GL060051/18,31032021,GL060051/18310320210,0,GL060051/18310320210,,,,,
GL060103/18,31032021,GL060103/18310320210,0,GL060103/18310320210,,,,,
GL060103/18,31032022,GL060103/1831032022,,#N/A,,,,,
GL060103/18,31032022,GL060103/18310320220,0,GL060103/18310320220,,,,,
GL060112/18,31032021,GL060112/18310320210,0,GL060112/18310320210,,,,,
GL060144/18,31032021,GL060144/18310320210,0,GL060144/18310320210,,,,,
GL060171/18,31032021,GL060171/1831032021500,500,GL060171/1831032021500,,,,,
GL060192/18,31032021,GL060192/18310320210,0,GL060192/18310320210,,,,,
GL060192/18,31032022,GL060192/1831032022,,#N/A,,,,,
GL060192/18,31032022,GL060192/18310320220,0,GL060192/18310320220,,,,,
GL060247/18,31032021,GL060247/18310320210,0,GL060247/18310320210,,,,,
GL060286/18,31032021,GL060286/18310320210,0,GL060286/18310320210,,,,,
GL060286/18,31032022,GL060286/1831032022,,#N/A,,,,,
GL060286/18,31032022,GL060286/18310320220,0,GL060286/18310320220,,,,,
GL060294/18,31032021,GL060294/18310320210,0,GL060294/18310320210,,,,,
GL060294/18,31032022,GL060294/1831032022,,#N/A,,,,,
GL060294/18,31032022,GL060294/18310320220,0,GL060294/18310320220,,,,,
