_id,Amount,Date,RecNo,TxnType,GLNo,PendingDays,PrincDue,Source[0]
6761057fcb78d87ad7a7a87e,36,2021-09-24T00:00:00.000Z,R000116224,IntPayment,GL077297/21,7,10000,Receipt_2022-03-31
6761057fcb78d87ad7a7a87f,0,2021-09-24T00:00:00.000Z,R000116217,PrincPayment,GL076061/21,31,21000,Receipt_2022-03-31
6761057fcb78d87ad7a7a880,210,2021-09-24T00:00:00.000Z,R000116217,IntPayment,GL076061/21,31,21000,Receipt_2022-03-31
6761057fcb78d87ad7a7a881,0,2021-09-24T00:00:00.000Z,R000116218,PrincPayment,GL075022/20,31,15000,Receipt_2022-03-31
6761057fcb78d87ad7a7a882,150,2021-09-24T00:00:00.000Z,R000116218,IntPayment,GL075022/20,31,15000,Receipt_2022-03-31
6761057fcb78d87ad7a7a883,0,2021-09-24T00:00:00.000Z,R000116219,PrincPayment,GL075795/21,31,14000,Receipt_2022-03-31
6761057fcb78d87ad7a7a884,140,2021-09-24T00:00:00.000Z,R000116219,IntPayment,GL075795/21,31,14000,Receipt_2022-03-31
6761057fcb78d87ad7a7a885,0,2021-09-24T00:00:00.000Z,R000116220,PrincPayment,GL073304/20,31,24000,Receipt_2022-03-31
6761057fcb78d87ad7a7a886,240,2021-09-24T00:00:00.000Z,R000116220,IntPayment,GL073304/20,31,24000,Receipt_2022-03-31
6761057fcb78d87ad7a7a887,85,2021-09-24T00:00:00.000Z,R000116221,PrincPayment,GL074407/20,31,21520,Receipt_2022-03-31
6761057fcb78d87ad7a7a888,216,2021-09-24T00:00:00.000Z,R000116221,IntPayment,GL074407/20,31,21520,Receipt_2022-03-31
6761057fcb78d87ad7a7a889,0,2021-09-24T00:00:00.000Z,R000116222,PrincPayment,GL074270/20,31,15000,Receipt_2022-03-31
6761057fcb78d87ad7a7a88a,150,2021-09-24T00:00:00.000Z,R000116222,IntPayment,GL074270/20,31,15000,Receipt_2022-03-31
6761057fcb78d87ad7a7a88b,0,2021-09-24T00:00:00.000Z,R000116223,PrincPayment,GL074291/20,31,54850,Receipt_2022-03-31
6761057fcb78d87ad7a7a88c,549,2021-09-24T00:00:00.000Z,R000116223,IntPayment,GL074291/20,31,54850,Receipt_2022-03-31
6761057fcb78d87ad7a7a88d,7000,2021-09-24T00:00:00.000Z,R000116225,PrincPayment,GL077038/21,24,7000,Receipt_2022-03-31
6761057fcb78d87ad7a7a88e,84,2021-09-24T00:00:00.000Z,R000116225,IntPayment,GL077038/21,24,7000,Receipt_2022-03-31
6761057fcb78d87ad7a7a88f,20000,2021-09-24T00:00:00.000Z,R000116226,PrincPayment,GL076985/21,29,20000,Receipt_2022-03-31
6761057fcb78d87ad7a7a890,287,2021-09-24T00:00:00.000Z,R000116226,IntPayment,GL076985/21,29,20000,Receipt_2022-03-31
6761057fcb78d87ad7a7a891,28000,2021-09-24T00:00:00.000Z,R000116229,PrincPayment,GL076424/21,18,28000,Receipt_2022-03-31
6761057fcb78d87ad7a7a892,249,2021-09-24T00:00:00.000Z,R000116229,IntPayment,GL076424/21,18,28000,Receipt_2022-03-31
6761057fcb78d87ad7a7a893,0,2021-09-24T00:00:00.000Z,R000116227,PrincPayment,GL076036/21,31,26000,Receipt_2022-03-31
6761057fcb78d87ad7a7a894,260,2021-09-24T00:00:00.000Z,R000116227,IntPayment,GL076036/21,31,26000,Receipt_2022-03-31
6761057fcb78d87ad7a7a895,22700,2021-09-24T00:00:00.000Z,R000116228,PrincPayment,GL075337/20,191,22700,Receipt_2022-03-31
6761057fcb78d87ad7a7a896,2129,2021-09-24T00:00:00.000Z,R000116228,IntPayment,GL075337/20,191,22700,Receipt_2022-03-31
6761057fcb78d87ad7a7a897,39000,2021-09-24T00:00:00.000Z,R000116230,PrincPayment,GL076337/21,18,39000,Receipt_2022-03-31
6761057fcb78d87ad7a7a898,347,2021-09-24T00:00:00.000Z,R000116230,IntPayment,GL076337/21,18,39000,Receipt_2022-03-31
6761057fcb78d87ad7a7a899,10000,2021-09-24T00:00:00.000Z,R000116231,PrincPayment,GL077231/21,9,10000,Receipt_2022-03-31
6761057fcb78d87ad7a7a89a,45,2021-09-24T00:00:00.000Z,R000116231,IntPayment,GL077231/21,9,10000,Receipt_2022-03-31
